measure_data_item,time_period_time_period,obs_value,unit_measure_unit_of_measure,state,year
LAND: Land area (ha),2021,6801753.9,HA: Hectares,TAS,2021
ERP_F_33: Estimated resident population:Females aged 60-64 years (%),2019,6.2,PCT: Percent,SA,2019
ERP_F_33: Estimated resident population:Females aged 60-64 years (%),2020,6.3,PCT: Percent,SA,2020
ERP_F_33: Estimated resident population:Females aged 60-64 years (%),2021,6.4,PCT: Percent,SA,2021
ERP_F_33: Estimated resident population:Females aged 60-64 years (%),2022,6.4,PCT: Percent,SA,2022
ERP_F_33: Estimated resident population:Females aged 60-64 years (%),2023,6.4,PCT: Percent,SA,2023
ERP_M_32: Estimated resident population:Males aged 55-59 years (%),2019,5.3,PCT: Percent,ACT,2019
ERP_M_32: Estimated resident population:Males aged 55-59 years (%),2020,5.3,PCT: Percent,ACT,2020
ERP_M_32: Estimated resident population:Males aged 55-59 years (%),2021,5.2,PCT: Percent,ACT,2021
ERP_M_32: Estimated resident population:Males aged 55-59 years (%),2022,5.0,PCT: Percent,ACT,2022
ERP_M_32: Estimated resident population:Males aged 55-59 years (%),2023,5.0,PCT: Percent,ACT,2023
ERP_F_27: Estimated resident population:Females aged 30-34 years (%),2019,7.8,PCT: Percent,WA,2019
ERP_F_27: Estimated resident population:Females aged 30-34 years (%),2020,7.7,PCT: Percent,WA,2020
ERP_F_27: Estimated resident population:Females aged 30-34 years (%),2021,7.6,PCT: Percent,WA,2021
ERP_F_27: Estimated resident population:Females aged 30-34 years (%),2022,7.4,PCT: Percent,WA,2022
ERP_F_27: Estimated resident population:Females aged 30-34 years (%),2023,7.5,PCT: Percent,WA,2023
ERP_M_14: Estimated resident population:Males aged 60-64 years (no.),2019,52012.0,PSNS: Persons,SA,2019
ERP_M_14: Estimated resident population:Males aged 60-64 years (no.),2020,53347.0,PSNS: Persons,SA,2020
ERP_M_14: Estimated resident population:Males aged 60-64 years (no.),2021,54641.0,PSNS: Persons,SA,2021
ERP_M_14: Estimated resident population:Males aged 60-64 years (no.),2022,55604.0,PSNS: Persons,SA,2022
ERP_M_14: Estimated resident population:Males aged 60-64 years (no.),2023,56156.0,PSNS: Persons,SA,2023
ERP_P_11: Estimated resident population:Persons aged 45-49 years (no.),2019,35180.0,PSNS: Persons,TAS,2019
ERP_P_11: Estimated resident population:Persons aged 45-49 years (no.),2020,34796.0,PSNS: Persons,TAS,2020
ERP_P_11: Estimated resident population:Persons aged 45-49 years (no.),2021,33861.0,PSNS: Persons,TAS,2021
ERP_P_11: Estimated resident population:Persons aged 45-49 years (no.),2022,32824.0,PSNS: Persons,TAS,2022
ERP_P_11: Estimated resident population:Persons aged 45-49 years (no.),2023,32149.0,PSNS: Persons,TAS,2023
ERP_19: Median age:Males (years),2022,40.5,YR: Years,TAS,2022
ERP_19: Median age:Males (years),2023,40.7,YR: Years,TAS,2023
ING_SMK1: Aboriginal and Torres Strait Islander Peoples:Ex-smoker/never smoked (no.),2015,23489.0,PSNS: Persons,NT,2015
ING_SMK1: Aboriginal and Torres Strait Islander Peoples:Ex-smoker/never smoked (no.),2019,22689.0,PSNS: Persons,NT,2019
ERP_P_22: Estimated resident population:Persons aged 5-9 years (%),2019,6.0,PCT: Percent,SA,2019
ERP_P_22: Estimated resident population:Persons aged 5-9 years (%),2020,5.9,PCT: Percent,SA,2020
ERP_P_22: Estimated resident population:Persons aged 5-9 years (%),2021,5.9,PCT: Percent,SA,2021
ERP_P_22: Estimated resident population:Persons aged 5-9 years (%),2022,5.8,PCT: Percent,SA,2022
ERP_P_22: Estimated resident population:Persons aged 5-9 years (%),2023,5.7,PCT: Percent,SA,2023
ERP_19: Median age:Males (years),2019,40.5,YR: Years,TAS,2019
ERP_19: Median age:Males (years),2020,40.5,YR: Years,TAS,2020
ERP_19: Median age:Males (years),2021,40.3,YR: Years,TAS,2021
ERP_M_36: Estimated resident population:Males aged 75-79 years (%),2019,3.0,PCT: Percent,OT,2019
ERP_M_36: Estimated resident population:Males aged 75-79 years (%),2020,3.2,PCT: Percent,OT,2020
ERP_M_36: Estimated resident population:Males aged 75-79 years (%),2021,2.9,PCT: Percent,OT,2021
ERP_M_36: Estimated resident population:Males aged 75-79 years (%),2022,2.9,PCT: Percent,OT,2022
ERP_M_36: Estimated resident population:Males aged 75-79 years (%),2023,3.2,PCT: Percent,OT,2023
ERP_P_38: Estimated resident population:Persons aged 85 and over (%),2019,2.1,PCT: Percent,VIC,2019
ERP_P_38: Estimated resident population:Persons aged 85 and over (%),2020,2.1,PCT: Percent,VIC,2020
ERP_P_38: Estimated resident population:Persons aged 85 and over (%),2021,2.1,PCT: Percent,VIC,2021
ERP_P_38: Estimated resident population:Persons aged 85 and over (%),2022,2.1,PCT: Percent,VIC,2022
ERP_P_38: Estimated resident population:Persons aged 85 and over (%),2023,2.1,PCT: Percent,VIC,2023
ERP_P_28: Estimated resident population:Persons aged 35-39 years (%),2019,7.4,PCT: Percent,WA,2019
ERP_P_28: Estimated resident population:Persons aged 35-39 years (%),2020,7.5,PCT: Percent,WA,2020
ERP_P_28: Estimated resident population:Persons aged 35-39 years (%),2021,7.6,PCT: Percent,WA,2021
ERP_P_28: Estimated resident population:Persons aged 35-39 years (%),2022,7.6,PCT: Percent,WA,2022
ERP_P_28: Estimated resident population:Persons aged 35-39 years (%),2023,7.7,PCT: Percent,WA,2023
ERP_F_16: Estimated resident population:Females aged 70-74 years (no.),2019,8005.0,PSNS: Persons,ACT,2019
ERP_F_16: Estimated resident population:Females aged 70-74 years (no.),2020,8537.0,PSNS: Persons,ACT,2020
ERP_F_16: Estimated resident population:Females aged 70-74 years (no.),2021,8965.0,PSNS: Persons,ACT,2021
ERP_F_16: Estimated resident population:Females aged 70-74 years (no.),2022,8948.0,PSNS: Persons,ACT,2022
ERP_F_16: Estimated resident population:Females aged 70-74 years (no.),2023,9027.0,PSNS: Persons,ACT,2023
ERP_P_38: Estimated resident population:Persons aged 85 and over (%),2019,0.4,PCT: Percent,NT,2019
ERP_P_38: Estimated resident population:Persons aged 85 and over (%),2020,0.5,PCT: Percent,NT,2020
ERP_P_38: Estimated resident population:Persons aged 85 and over (%),2021,0.5,PCT: Percent,NT,2021
ERP_P_38: Estimated resident population:Persons aged 85 and over (%),2022,0.5,PCT: Percent,NT,2022
ERP_P_38: Estimated resident population:Persons aged 85 and over (%),2023,0.6,PCT: Percent,NT,2023
ING_EMP3: Aboriginal and Torres Strait Islander Peoples:% of total Census responding population employed,2016,42.5,PCT: Percent,OT,2016
ING_EMP3: Aboriginal and Torres Strait Islander Peoples:% of total Census responding population employed,2021,45.6,PCT: Percent,OT,2021
ING_F2534: Estimated resident Aboriginal and Torres Strait Islander population:Females aged 25-34 years (no.),2021,5961.0,PSNS: Persons,VIC,2021
ERP_F_10: Estimated resident population:Females aged 40-44 years (no.),2019,135.0,PSNS: Persons,OT,2019
ERP_F_10: Estimated resident population:Females aged 40-44 years (no.),2020,138.0,PSNS: Persons,OT,2020
ERP_F_10: Estimated resident population:Females aged 40-44 years (no.),2021,142.0,PSNS: Persons,OT,2021
ERP_F_10: Estimated resident population:Females aged 40-44 years (no.),2022,159.0,PSNS: Persons,OT,2022
ERP_F_10: Estimated resident population:Females aged 40-44 years (no.),2023,165.0,PSNS: Persons,OT,2023
ERP_18: Working age population (persons aged 15-64 years) (no.),2019,1748180.0,PSNS: Persons,WA,2019
ERP_18: Working age population (persons aged 15-64 years) (no.),2020,1773866.0,PSNS: Persons,WA,2020
ERP_18: Working age population (persons aged 15-64 years) (no.),2021,1787608.0,PSNS: Persons,WA,2021
ERP_18: Working age population (persons aged 15-64 years) (no.),2022,1812086.0,PSNS: Persons,WA,2022
ERP_18: Working age population (persons aged 15-64 years) (no.),2023,1880771.0,PSNS: Persons,WA,2023
ING_EMP3: Aboriginal and Torres Strait Islander Peoples:% of total Census responding population employed,2016,54.2,PCT: Percent,TAS,2016
ING_EMP3: Aboriginal and Torres Strait Islander Peoples:% of total Census responding population employed,2021,58.6,PCT: Percent,TAS,2021
ERP_M_11: Estimated resident population:Males aged 45-49 years (no.),2019,171263.0,PSNS: Persons,QLD,2019
ERP_M_11: Estimated resident population:Males aged 45-49 years (no.),2020,171954.0,PSNS: Persons,QLD,2020
ERP_M_11: Estimated resident population:Males aged 45-49 years (no.),2021,169461.0,PSNS: Persons,QLD,2021
ERP_M_11: Estimated resident population:Males aged 45-49 years (no.),2022,167321.0,PSNS: Persons,QLD,2022
ERP_M_11: Estimated resident population:Males aged 45-49 years (no.),2023,165343.0,PSNS: Persons,QLD,2023
ERP_F_35: Estimated resident population:Females aged 70-74 years (%),2019,4.3,PCT: Percent,NSW,2019
ERP_F_35: Estimated resident population:Females aged 70-74 years (%),2020,4.5,PCT: Percent,NSW,2020
ERP_F_35: Estimated resident population:Females aged 70-74 years (%),2021,4.6,PCT: Percent,NSW,2021
ERP_F_35: Estimated resident population:Females aged 70-74 years (%),2022,4.6,PCT: Percent,NSW,2022
ERP_F_35: Estimated resident population:Females aged 70-74 years (%),2023,4.5,PCT: Percent,NSW,2023
ING_HLTC3: Aboriginal and Torres Strait Islander Peoples:Recognises and allowed to visit homelands/traditional country (%),2015,72.5,PCT: Percent,ACT,2015
ING_HLTC3: Aboriginal and Torres Strait Islander Peoples:Recognises and allowed to visit homelands/traditional country (%),2019,68.8,PCT: Percent,ACT,2019
ING_HOSD2: Aboriginal and Torres Strait Islander Peoples:Living in a dwelling with no additional bedrooms required (appropriately sized) (%),2016,87.6,PCT: Percent,VIC,2016
ING_HOSD2: Aboriginal and Torres Strait Islander Peoples:Living in a dwelling with no additional bedrooms required (appropriately sized) (%),2021,88.8,PCT: Percent,VIC,2021
ING_M4554: Estimated resident Aboriginal and Torres Strait Islander population:Males aged 45-54 years (no.),2021,3790.0,PSNS: Persons,VIC,2021
ING_LTHC2: Aboriginal and Torres Strait Islander Peoples:One long-term health condition (no.),2019,39605.0,PSNS: Persons,QLD,2019
ERP_F_16: Estimated resident population:Females aged 70-74 years (no.),2023,61510.0,PSNS: Persons,WA,2023
ERP_F_2: Estimated resident population:Females aged 0-4 years (no.),2019,195022.0,PSNS: Persons,VIC,2019
ERP_F_2: Estimated resident population:Females aged 0-4 years (no.),2020,192226.0,PSNS: Persons,VIC,2020
ERP_F_2: Estimated resident population:Females aged 0-4 years (no.),2021,188390.0,PSNS: Persons,VIC,2021
ERP_F_2: Estimated resident population:Females aged 0-4 years (no.),2022,188366.0,PSNS: Persons,VIC,2022
ERP_F_2: Estimated resident population:Females aged 0-4 years (no.),2023,189885.0,PSNS: Persons,VIC,2023
ING_F014: Estimated resident Aboriginal and Torres Strait Islander population:Females aged 0-14 years (no.),2021,18784.0,PSNS: Persons,WA,2021
ERP_F_36: Estimated resident population:Females aged 75-79 years (%),2019,3.1,PCT: Percent,NSW,2019
ERP_F_36: Estimated resident population:Females aged 75-79 years (%),2020,3.2,PCT: Percent,NSW,2020
ERP_F_36: Estimated resident population:Females aged 75-79 years (%),2021,3.3,PCT: Percent,NSW,2021
ERP_F_36: Estimated resident population:Females aged 75-79 years (%),2022,3.5,PCT: Percent,NSW,2022
ERP_F_36: Estimated resident population:Females aged 75-79 years (%),2023,3.7,PCT: Percent,NSW,2023
ERP_F_16: Estimated resident population:Females aged 70-74 years (no.),2019,52425.0,PSNS: Persons,WA,2019
ERP_F_16: Estimated resident population:Females aged 70-74 years (no.),2020,56194.0,PSNS: Persons,WA,2020
ERP_F_16: Estimated resident population:Females aged 70-74 years (no.),2021,59306.0,PSNS: Persons,WA,2021
ERP_F_16: Estimated resident population:Females aged 70-74 years (no.),2022,60020.0,PSNS: Persons,WA,2022
ERP_M_21: Estimated resident population:Males aged 0-4 years (%),2019,6.4,PCT: Percent,QLD,2019
ERP_M_21: Estimated resident population:Males aged 0-4 years (%),2020,6.2,PCT: Percent,QLD,2020
