facility_name,state,capacity_mw,fuel_source,accreditation_code,accreditation_start_date,approval_date,committed_date,project_status
DONS FORT - SOLAR W SGU - QLD,QLD,0.421,Solar,SRPXQLO8,2025-10-21,2026-06-01,,accredited
Mintus Coles - Solar w SGU- NSW,NSW,0.19,Solar,SRPYNSK0,2025-12-09,2026-06-01,,accredited
Ventora - Acacia Ridge - Solar - QLD,QLD,0.162,Solar,SRPXQLP1,2025-11-17,2026-06-01,,accredited
Bayside Aged Care - Solar - Morisset - NSW,NSW,0.14,Solar,SRPYNSK3,2025-12-16,2026-08-01,,accredited
Matrix Composites and Engineering Pty Ltd - Solar - WA,WA,0.85,Solar,SRPVWAQ0,2025-12-17,2026-08-01,,accredited
Accensi Narangba - Solar - QLD,QLD,0.199,Solar,SRPXQLP4,2025-11-24,2026-09-01,,accredited
Bunge Port Giles - Solar - SA,SA,0.478,Solar,SRPXSA19,2025-12-11,,,accredited
HBF Stadium Carpark 4 PV System - Solar w SGU - WA,WA,0.259,Solar,SRPVWAP2,2025-09-10,,,accredited
Stockland M-park Building C - Solar - NSW,NSW,0.125,Solar,SRPYNSJ2,2025-11-06,,,accredited
Waverley Gardens - Solar w SGU - VIC,VIC,0.521,Solar,SRPXVCU9,2025-10-03,,,accredited
The Barracks - Solar w SGU - QLD,QLD,0.302,Solar,SRPXQLP3,2025-11-21,,,accredited
Altona Stage 1 & BESS - Solar - Vic,VIC,1.179,Solar,SRPXVCW5,2025-12-12,,,accredited
Tabbita-Solar-NSW,NSW,7.157,Solar,SRPYNSJ3,2025-11-07,,,accredited
CLV GUV Village - Solar w SGU - QLD,QLD,0.248,Solar,SRPXQLO3,2025-09-16,,,accredited
BAULKHAM HILLS - SOLAR W SGU - NSW,NSW,0.228,Solar,SRPYNSI3,2025-10-16,,,accredited
RAAFA (ARK) - Solar - WA,WA,0.3,Solar,SRPVWAO8,2025-08-25,,,accredited
CHARTER HALL-CL3030 DRYSTONE-SOLAR-VIC,VIC,0.223,Solar,SRPXVCW2,2025-11-26,,,accredited
Leppington BP 3 & BESS - Solar w SGU - NSW,NSW,0.783,Solar,SRPYNSI1,2025-10-03,,,accredited
Woolworths CFC Adelaide 8849 - Solar - SA,SA,0.33,Solar,SRPXSA17,2025-12-10,,,accredited
Yumbah Aquaculture Ltd - Solar - SA,SA,0.752,Solar,SRPXSA21,2026-01-16,,,accredited
40 Cameron Ave - Solar - ACT,ACT,0.185,Solar,SRPVAC42,2025-12-12,2026-11-02,,accredited
BC Westcourt - Solar - QLD,QLD,0.2,Solar,SRPXQLQ6,2026-01-23,2026-11-02,,accredited
Bunnings Carseldine - Solar - QLD,QLD,0.38,Solar,SRPXQLJ9,2026-02-04,2026-11-02,,accredited
Goodman AU744 Lawrence & Hanson - Solar - VIC,VIC,0.101,Solar,SRPXVCW1,2025-11-20,2026-11-02,,accredited
