reporting_entity,facility_name,type,state,electricity_production_gj,electricity_production_mwh,total_scope_1_emissions_t_co2_e,total_scope_2_emissions_t_co2_e,total_emissions_t_co2_e,emission_intensity_t_co2_e_mwh,grid_connected,grid,primary_fuel,year,controlling_corporation,is_summary,geo_query,latitude,longitude,place_id,formatted_address,geocode_status
ACCIONA ENERGY OCEANIA PTY LTD,Cathedral Rocks Wind Farm,F,SA,555151.0,154209.0,50.0,95.0,145,0.0,On,NEM,Wind,2020,,False,"Cathedral Rocks Wind Farm, SA, Australia",-34.8650514,135.5967417,ChIJxUQr6dNSqmoRoCd9mT-Z1-Y,"Sleaford SA 5607, Australia",OK
ACCIONA ENERGY OCEANIA PTY LTD,Gunning Wind Farm,F,NSW,636185.0,176718.0,45.0,143.0,188,0.0,On,NEM,Wind,2020,,False,"Gunning Wind Farm, NSW, Australia",-34.6905625,149.4270092,ChIJQWYzdN7cFmsRGdZ3LbCG8xU,"Gunning NSW 2581, Australia",OK
ACCIONA ENERGY OCEANIA PTY LTD,Mt Gellibrand Wind Farm,F,VIC,1086174.0,301715.0,49.0,308.0,357,0.0,On,NEM,Wind,2020,,False,"Mt Gellibrand Wind Farm, VIC, Australia",-38.2579656,143.7995697,ChIJtVGxGFyf02oR1E9wzP1YXS0,"450 Mooleric Rd, Birregurra VIC 3242, Australia",OK
ACCIONA ENERGY OCEANIA PTY LTD,Waubra Wind Farm,F,VIC,2414107.0,670585.0,139.0,452.0,591,0.0,On,NEM,Wind,2020,,False,"Waubra Wind Farm, VIC, Australia",-37.394638799999996,143.6386011,ChIJjRMVspBs0WoRncGnVM7olVA,"275 Harrisons Rd, Waubra VIC 3352, Australia",OK
ADANI RENEWABLE ASSET HOLDINGS PTY LTD,Adani Rugby Run Solar Farm,F,QLD,589185.0,163662.0,0.0,0.0,0,0.0,On,NEM,Solar,2020,,False,"Adani Rugby Run Solar Farm, QLD, Australia",-22.575197,144.0847926,ChIJ_dxieiTf1GsRmb4SdiLQ8vU,"Queensland, Australia",OK
AGL ENERGY LIMITED,Banimboola Hydro,F,VIC,126183.0,35051.0,8.0,39.0,47,0.0,On,NEM,Hydro,2020,,False,"Banimboola Hydro, VIC, Australia",,,,,
AGL ENERGY LIMITED,Barker Inlet Power Station,F,SA,901686.0,250468.0,110595.0,1553.0,112148,0.44,On,NEM,Gas,2020,,False,"Barker Inlet Power Station, SA, Australia",,,,,
AGL ENERGY LIMITED,Bayswater Power Station,F,NSW,56724062.0,15756684.0,14013621.0,24693.0,14038314,0.89,On,NEM,Black Coal,2020,,False,"Bayswater Power Station, NSW, Australia",,,,,
AGL ENERGY LIMITED,Bogong Power Station,F,VIC,302433.0,84009.0,79.0,585.0,664,0.0,On,NEM,Hydro,2020,,False,"Bogong Power Station, VIC, Australia",,,,,
AGL ENERGY LIMITED,Broken Hill Solar Plant,F,NSW,299498.0,83194.0,78.0,395.0,473,0.0,On,NEM,Solar,2020,,False,"Broken Hill Solar Plant, NSW, Australia",,,,,
AGL ENERGY LIMITED,Clover Hydro,F,VIC,804.0,223.0,2.0,406.0,408,0.01,On,NEM,Hydro,2020,,False,"Clover Hydro, VIC, Australia",,,,,
AGL ENERGY LIMITED,Copeton Hydro,F,NSW,4378.0,1216.0,1.0,0.0,1,0.0,On,NEM,Hydro,2020,,False,"Copeton Hydro, NSW, Australia",,,,,
