reporting_entity,facility_name,matched_cer_facility_name,type,state,year,electricity_production_gj,electricity_production_mwh,total_scope_1_emissions_t_co2_e,total_scope_2_emissions_t_co2_e,total_emissions_t_co2_e,emission_intensity_t_co2_e_mwh,grid_connected,grid,primary_fuel,controlling_corporation,is_summary,capacity_mw,fuel_source,accreditation_code,postcode,accreditation_start_date,approval_date,committed_date,project_status,merge_status,bd_2,bd_3,bd_4,bd_5,erp_17,erp_18,erp_19,erp_21,erp_22,erp_23,erp_f_10,erp_f_11,erp_f_12,erp_f_13,erp_f_14,erp_f_15,erp_f_16,erp_f_17,erp_f_18,erp_f_19,erp_f_20,erp_f_21,erp_f_22,erp_f_23,erp_f_24,erp_f_25,erp_f_26,erp_f_27,erp_f_28,erp_f_29,erp_f_2,erp_f_30,erp_f_31,erp_f_32,erp_f_33,erp_f_34,erp_f_35,erp_f_36,erp_f_37,erp_f_38,erp_f_3,erp_f_4,erp_f_5,erp_f_6,erp_f_7,erp_f_8,erp_f_9,erp_m_10,erp_m_11,erp_m_12,erp_m_13,erp_m_14,erp_m_15,erp_m_16,erp_m_17,erp_m_18,erp_m_19,erp_m_20,erp_m_21,erp_m_22,erp_m_23,erp_m_24,erp_m_25,erp_m_26,erp_m_27,erp_m_28,erp_m_29,erp_m_2,erp_m_30,erp_m_31,erp_m_32,erp_m_33,erp_m_34,erp_m_35,erp_m_36,erp_m_37,erp_m_38,erp_m_3,erp_m_4,erp_m_5,erp_m_6,erp_m_7,erp_m_8,erp_m_9,erp_p_10,erp_p_11,erp_p_12,erp_p_13,erp_p_14,erp_p_15,erp_p_16,erp_p_17,erp_p_18,erp_p_19,erp_p_20,erp_p_21,erp_p_22,erp_p_23,erp_p_24,erp_p_25,erp_p_26,erp_p_27,erp_p_28,erp_p_29,erp_p_2,erp_p_30,erp_p_31,erp_p_32,erp_p_33,erp_p_34,erp_p_35,erp_p_36,erp_p_37,erp_p_38,erp_p_3,erp_p_4,erp_p_5,erp_p_6,erp_p_7,erp_p_8,erp_p_9,ing_1564,ing_alc1,ing_alc2,ing_cultid,ing_disab1,ing_disab2,ing_disab3,ing_disab4,ing_disab5,ing_disab6,ing_disab7,ing_eetp1,ing_eetp2,ing_eetp3,ing_eetph1,ing_eetph2,ing_eetph3,ing_emp1,ing_emp2,ing_emp3,ing_erp_f,ing_erp_m,ing_erp_p,ing_f014,ing_f1524,ing_f2534,ing_f3544,ing_f4554,ing_f55over,ing_heap1,ing_heap2,ing_heap3,ing_hltc1,ing_hltc2,ing_hltc3,ing_hmlss1,ing_hmlss2,ing_hosd10,ing_hosd11,ing_hosd1,ing_hosd2,ing_hosd3,ing_hosd4,ing_hosd5,ing_hosd6,ing_hosd7,ing_hosd8,ing_hosd9,ing_labf,ing_lang1,ing_lang2,ing_lfpr,ing_lfsp1,ing_lfsp2,ing_lfsp3,ing_lthc1,ing_lthc2,ing_lthc3,ing_lthc4,ing_lthc5,ing_lthc6,ing_m014,ing_m1524,ing_m2534,ing_m3544,ing_m4554,ing_m55over,ing_ma_f,ing_ma_m,ing_ma_p,ing_nilf,ing_p014,ing_p1524,ing_p2534,ing_p3544,ing_p4554,ing_p55over,ing_sahlth,ing_smk1,ing_smk2,ing_ttype1,ing_ttype2,ing_ttype3,ing_ttype4,ing_ua1,ing_ua2,ing_unemp1,ing_unemp2,ing_upcc1,ing_upcc2,ing_upcc3,ing_upcc4,ing_upcc5,ing_upcc6,ing_upcc7,ing_upcc8,ing_usp1,ing_usp2,ing_usp3,ing_usp4,ing_volwp1,ing_volwp2,ing_wa1,ing_wa2,ing_yr12c3p1,ing_yr12c3p2,ing_yr12c3p3,land,pension_3,pension_4,pension_5
DELTA ELECTRICITY PTY LTD,Vales Point Power Station,Vales Point Solar Farm,F,NSW,2020,26561860.0,7378295.0,6471988.0,99519.0,6571507,0.88,On,NEM,Black Coal,,False,62.0,Solar,,,,,,probable,matched,95459.0,1.76,52485.0,5.2,64.8,5255515.0,37.2,10.1,39.0,38.1,257525.0,266456.0,246041.0,253282.0,237116.0,208404.0,182150.0,130194.0,94962.0,107646.0,4079900.0,5.8,6.0,6.0,5.5,6.3,7.2,7.4,7.1,6.3,235778.0,6.5,6.0,6.2,5.8,5.1,4.5,3.2,2.3,2.6,246598.0,243524.0,224626.0,258376.0,294737.0,302029.0,290456.0,253126.0,261043.0,238082.0,244232.0,223003.0,195022.0,173785.0,120201.0,79230.0,67660.0,4030710.0,6.2,6.5,6.4,6.0,6.8,7.4,7.4,7.2,6.3,250224.0,6.5,5.9,6.1,5.5,4.8,4.3,3.0,2.0,1.7,261782.0,257935.0,241491.0,276091.0,299182.0,299129.0,289492.0,510651.0,527499.0,484123.0,497514.0,460119.0,403426.0,355935.0,250395.0,174192.0,175306.0,8110610.0,6.0,6.3,6.2,5.7,6.6,7.3,7.4,7.2,6.3,486002.0,6.5,6.0,6.1,5.7,5.0,4.4,3.1,2.1,2.2,508380.0,501459.0,466117.0,534467.0,593919.0,601158.0,579948.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,783.0,24495.0,11681.0
NEOEN AUSTRALIA PTY. LTD.,BULGANA GREEN POWER HUB,Kentbruck Green Power Hub,F,VIC,2020,19545.0,5429.0,192.0,2854.0,3046,0.04,On,NEM,Wind,,False,600.0,Wind,,,,,,probable,matched,73543.0,1.55,41093.0,5.1,66.0,4365870.0,36.4,29.1,38.2,37.3,213034.0,219276.0,204913.0,200134.0,185876.0,163115.0,142468.0,100174.0,74315.0,84073.0,3341372.0,5.8,6.0,5.8,5.4,6.6,7.7,7.9,7.4,6.4,192226.0,6.6,6.1,6.0,5.6,4.9,4.3,3.0,2.2,2.5,199227.0,192458.0,181521.0,221289.0,256318.0,263622.0,247333.0,209348.0,210083.0,195684.0,189586.0,172421.0,149334.0,131200.0,90306.0,60919.0,52652.0,3273674.0,6.2,6.4,6.2,5.9,7.3,8.0,7.9,7.5,6.4,202936.0,6.4,6.0,5.8,5.3,4.6,4.0,2.8,1.9,1.6,210533.0,203240.0,192616.0,238531.0,262371.0,257653.0,244261.0,422382.0,429359.0,400597.0,389720.0,358297.0,312449.0,273668.0,190480.0,135234.0,136725.0,6615046.0,6.0,6.2,6.0,5.7,7.0,7.8,7.9,7.4,6.4,395162.0,6.5,6.1,5.9,5.4,4.7,4.1,2.9,2.0,2.1,409760.0,395698.0,374137.0,459820.0,518689.0,521275.0,491594.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504.0,16748.0,7198.0
DELTA ELECTRICITY PTY LTD,Vales Point Power Station,Vales Point Solar Farm,F,NSW,2021,24372427.0,6770119.0,6367344.0,98996.0,6466340,0.94,On,NEM,Black Coal,,False,62.0,Solar,,,,,,probable,matched,101332.0,1.72,56525.0,5.1,64.3,5209700.0,37.7,10.1,39.5,38.6,263153.0,260715.0,252243.0,247965.0,240317.0,211037.0,187796.0,135708.0,97173.0,109787.0,4071669.0,5.7,6.0,6.1,5.5,6.0,6.9,7.4,7.2,6.5,232193.0,6.4,6.2,6.1,5.9,5.2,4.6,3.3,2.4,2.7,245467.0,246768.0,222554.0,243734.0,281425.0,300607.0,293027.0,257741.0,256646.0,244279.0,241583.0,226979.0,196703.0,177431.0,125832.0,82010.0,70196.0,4025393.0,6.1,6.5,6.5,5.9,6.5,7.1,7.4,7.3,6.4,246488.0,6.4,6.1,6.0,5.6,4.9,4.4,3.1,2.0,1.7,261143.0,261630.0,238716.0,263020.0,286918.0,295922.0,292156.0,520894.0,517361.0,496522.0,489548.0,467296.0,407740.0,365227.0,261540.0,179183.0,179983.0,8097062.0,5.9,6.3,6.3,5.7,6.3,7.0,7.4,7.2,6.4,478681.0,6.4,6.1,6.0,5.8,5.0,4.5,3.2,2.2,2.2,506610.0,508398.0,461270.0,506754.0,568343.0,596529.0,585183.0,163828.0,,,,,,,,,,,42.7,20.3,37.0,29599.0,62.0,47729.0,92356.0,90.0,56.4,169293.0,170417.0,339710.0,55670.0,30879.0,23841.0,17592.0,17153.0,24158.0,18762.0,54.1,34703.0,,,,2508.0,7.0,0.3,243919.0,213418.0,87.5,22080.0,9.1,6227.0,2.6,1549.0,0.6,645.0,102579.0,1.9,96.9,62.6,67497.0,59.6,113280.0,,,,,,,59525.0,32705.0,24108.0,16640.0,15703.0,21736.0,24.3,22.6,23.4,37.4,115195.0,63584.0,47949.0,34232.0,32856.0,45894.0,,,,112521.0,43.5,137702.0,53.2,27147.0,14.6,10223.0,10.0,38602.0,20.8,12373.0,6.7,53152.0,28.7,122358.0,66.0,,,,,19979.0,10.8,204377.0,60.2,15722.0,69.3,22675.0,80079765.9,722.0,21949.0,9273.0
NEOEN AUSTRALIA PTY. LTD.,BULGANA GREEN POWER HUB,Kentbruck Green Power Hub,F,VIC,2021,1349662.0,374906.0,142.0,1173.0,1315,0.0,On,NEM,Wind,,False,600.0,Wind,,,,,,probable,matched,75363.0,1.52,42486.0,5.1,65.4,4282802.0,37.0,28.8,38.8,37.9,216784.0,212510.0,209130.0,196785.0,186920.0,164330.0,147137.0,104574.0,75756.0,85518.0,3310228.0,5.7,6.0,5.9,5.4,6.1,7.3,7.8,7.5,6.5,188390.0,6.4,6.3,5.9,5.6,5.0,4.4,3.2,2.3,2.6,198141.0,193745.0,178617.0,203094.0,240676.0,258724.0,249397.0,211582.0,205788.0,199667.0,187581.0,173732.0,150504.0,133355.0,94281.0,63044.0,54315.0,3237594.0,6.1,6.5,6.3,5.8,6.7,7.6,7.8,7.6,6.5,197636.0,6.4,6.2,5.8,5.4,4.6,4.1,2.9,1.9,1.7,209607.0,204687.0,188820.0,217862.0,247078.0,252120.0,245935.0,428366.0,418298.0,408797.0,384366.0,360652.0,314834.0,280492.0,198855.0,138800.0,139833.0,6547822.0,5.9,6.2,6.1,5.6,6.4,7.4,7.8,7.6,6.5,386026.0,6.4,6.2,5.9,5.5,4.8,4.3,3.0,2.1,2.1,407748.0,398432.0,367437.0,420956.0,487754.0,510844.0,495332.0,39682.0,,,,,,,,,,,47.0,19.1,33.9,7380.0,65.5,11267.0,22984.0,90.3,57.9,39038.0,39658.0,78696.0,12902.0,7165.0,5961.0,4072.0,3790.0,5148.0,5524.0,58.5,9443.0,,,,1109.0,4.0,0.2,57334.0,50888.0,88.8,4636.0,8.1,1339.0,2.3,378.0,0.7,92.0,25439.0,1.6,95.9,64.1,17309.0,62.0,27928.0,,,,,,,13325.0,7389.0,6326.0,4090.0,3790.0,4738.0,24.2,23.7,24.0,35.9,26227.0,14554.0,12287.0,8162.0,7580.0,9886.0,,,,27181.0,44.7,31496.0,51.8,7306.0,16.4,2451.0,9.6,8863.0,19.9,2993.0,6.7,12363.0,27.7,29859.0,67.0,,,,,5840.0,13.1,48156.0,61.2,4167.0,72.6,5739.0,22749624.8,444.0,14958.0,5678.0
GRAND BARGAIN HOLDCO PTY LTD,Clarke Creek Wind Farm,Clarke Creek Wind Farm Stage 2,F,QLD,2023,0.0,0.0,7381.0,0.0,7381,0.0,On,NEM,Wind,,False,704.0,Wind,,,,,,probable,matched,58458.0,1.69,36622.0,5.4,64.7,3530226.0,37.6,3.2,39.2,38.5,183787.0,172219.0,180664.0,162285.0,161727.0,141351.0,124170.0,99781.0,61736.0,61207.0,2756217.0,5.4,5.9,6.3,6.1,6.3,6.9,7.1,7.0,6.7,149946.0,6.2,6.6,5.9,5.9,5.1,4.5,3.6,2.2,2.2,163082.0,174689.0,168293.0,172901.0,189739.0,195929.0,192711.0,176113.0,165343.0,174565.0,156138.0,153235.0,132050.0,116775.0,93992.0,54354.0,41336.0,2704203.0,5.9,6.4,6.8,6.6,6.6,7.0,7.0,6.9,6.5,159163.0,6.1,6.5,5.8,5.7,4.9,4.3,3.5,2.0,1.5,172550.0,184012.0,178932.0,178831.0,190643.0,190418.0,185753.0,359900.0,337562.0,355229.0,318423.0,314962.0,273401.0,240945.0,193773.0,116090.0,102543.0,5460477.0,5.7,6.1,6.6,6.4,6.4,7.0,7.1,6.9,6.6,309109.0,6.2,6.5,5.8,5.8,5.0,4.4,3.5,2.1,1.9,335632.0,358701.0,347225.0,351732.0,380382.0,386347.0,378464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1618.0,21140.0,6661.0
NEOEN AUSTRALIA PTY. LTD.,BULGANA GREEN POWER HUB,Kentbruck Green Power Hub,F,VIC,2023,1863251.0,517570.0,173.0,4830.0,5003,0.0,On,NEM,Wind,,False,600.0,Wind,,,,,,probable,matched,71889.0,1.49,45326.0,5.2,65.7,4480278.0,36.9,30.0,38.7,37.8,234154.0,209030.0,217735.0,195456.0,192342.0,170944.0,148991.0,120630.0,79695.0,88018.0,3445049.0,5.5,5.8,5.8,5.7,6.4,7.4,7.8,7.6,6.8,189885.0,6.1,6.3,5.7,5.6,5.0,4.3,3.5,2.3,2.6,198801.0,199241.0,195250.0,219400.0,253416.0,270377.0,261684.0,230326.0,203291.0,206574.0,185587.0,179940.0,155541.0,133032.0,107597.0,66947.0,57541.0,3370392.0,5.9,6.2,6.2,6.1,7.0,7.8,7.8,7.7,6.8,198024.0,6.0,6.1,5.5,5.3,4.6,3.9,3.2,2.0,1.7,210190.0,210086.0,206823.0,234777.0,262471.0,263536.0,258109.0,464480.0,412321.0,424309.0,381043.0,372282.0,326485.0,282023.0,228227.0,146642.0,145559.0,6816241.0,5.7,6.0,6.0,5.9,6.7,7.6,7.8,7.6,6.8,387909.0,6.0,6.2,5.6,5.5,4.8,4.1,3.3,2.2,2.1,408991.0,409327.0,402073.0,454177.0,515887.0,533913.0,519793.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470.0,13718.0,4872.0
SEV.EN GLOBAL INVESTMENTS PTY LTD,Vales Point Power Station,Vales Point Solar Farm,F,NSW,2023,25169519.0,6991533.0,6905352.0,69283.0,6974635,0.99,On,NEM,Black Coal,,False,62.0,Solar,,,,,,probable,matched,91947.0,1.68,59451.0,5.3,64.6,5387800.0,37.5,10.4,39.4,38.4,278726.0,253974.0,263132.0,239534.0,245991.0,218871.0,189891.0,154521.0,101670.0,112480.0,4193144.0,5.6,5.8,6.0,5.8,6.2,7.0,7.4,7.2,6.6,233030.0,6.1,6.3,5.7,5.9,5.2,4.5,3.7,2.4,2.7,242252.0,250328.0,241341.0,261412.0,295335.0,309991.0,300665.0,275004.0,248070.0,254255.0,231764.0,233688.0,202430.0,175147.0,143006.0,86957.0,74326.0,4149141.0,6.0,6.2,6.4,6.3,6.9,7.3,7.4,7.2,6.6,246913.0,6.0,6.1,5.6,5.6,4.9,4.2,3.4,2.1,1.8,256717.0,265946.0,259782.0,287995.0,303869.0,306404.0,296868.0,553730.0,502044.0,517387.0,471298.0,479679.0,421301.0,365038.0,297527.0,188627.0,186806.0,8341199.0,5.8,6.0,6.2,6.0,6.6,7.2,7.4,7.2,6.6,479943.0,6.0,6.2,5.6,5.7,5.1,4.4,3.6,2.3,2.2,498969.0,516274.0,501123.0,549407.0,599204.0,616395.0,597533.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,817.0,20181.0,7855.0
DELTA ELECTRICITY PTY LTD,Vales Point Power Station,Vales Point Solar Farm,F,NSW,2022,24221493.0,6728193.0,6356146.0,79485.0,6435631,0.94,On,NEM,Black Coal,,False,62.0,Solar,,,,,,probable,matched,97884.0,1.72,62980.0,5.2,64.3,5247219.0,37.7,10.2,39.6,38.7,269356.0,255656.0,258756.0,243280.0,243142.0,214574.0,187660.0,145664.0,99280.0,111167.0,4106941.0,5.7,5.9,6.1,5.6,6.0,6.8,7.3,7.2,6.6,232951.0,6.2,6.3,5.9,5.9,5.2,4.6,3.5,2.4,2.7,243580.0,248854.0,230886.0,245736.0,279539.0,301289.0,295571.0,264203.0,250766.0,249894.0,236501.0,230524.0,199400.0,175241.0,134812.0,84516.0,72211.0,4059763.0,6.1,6.4,6.5,6.1,6.6,7.1,7.3,7.2,6.5,247060.0,6.2,6.2,5.8,5.7,4.9,4.3,3.3,2.1,1.8,258772.0,263743.0,248468.0,268004.0,286780.0,296203.0,292665.0,533559.0,506422.0,508650.0,479781.0,473666.0,413974.0,362901.0,280476.0,183796.0,183378.0,8166704.0,5.9,6.2,6.3,5.9,6.3,6.9,7.3,7.2,6.5,480011.0,6.2,6.2,5.9,5.8,5.1,4.4,3.4,2.3,2.2,502352.0,512597.0,479354.0,513740.0,566319.0,597492.0,588236.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,795.0,21557.0,9084.0
NEOEN AUSTRALIA PTY. LTD.,BULGANA GREEN POWER HUB,Kentbruck Green Power Hub,F,VIC,2022,1834356.0,509543.0,88.0,2041.0,2129,0.0,On,NEM,Wind,,False,600.0,Wind,,,,,,probable,matched,75189.0,1.51,47978.0,5.1,65.4,4336677.0,37.1,29.1,38.9,38.0,223617.0,208785.0,214450.0,195377.0,189443.0,167320.0,147082.0,112815.0,78021.0,86638.0,3352870.0,5.6,5.9,5.8,5.5,6.1,7.2,7.8,7.6,6.7,188366.0,6.2,6.4,5.8,5.7,5.0,4.4,3.4,2.3,2.6,198083.0,195796.0,185459.0,205854.0,240672.0,261424.0,253668.0,218830.0,202989.0,204050.0,185892.0,176753.0,152719.0,132273.0,101125.0,65266.0,55754.0,3277761.0,6.0,6.4,6.3,6.0,6.7,7.6,7.7,7.6,6.7,196918.0,6.2,6.2,5.7,5.4,4.7,4.0,3.1,2.0,1.7,209486.0,206292.0,195915.0,219852.0,249464.0,253599.0,250584.0,442447.0,411774.0,418500.0,381269.0,366196.0,320039.0,279355.0,213940.0,143287.0,142392.0,6630631.0,5.8,6.1,6.1,5.8,6.4,7.4,7.8,7.6,6.7,385284.0,6.2,6.3,5.8,5.5,4.8,4.2,3.2,2.2,2.1,407569.0,402088.0,381374.0,425706.0,490136.0,515023.0,504252.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471.0,14674.0,5552.0
Delta Electricity Pty Ltd,Vales Point Power Station,Vales Point Solar Farm,F,NSW,2019,28253057.0,7848071.0,6747979.0,54325.0,6802304,0.86,On,NEM,Black Coal,,False,62.0,Solar,,,,,,probable,matched,98906.0,1.78,56058.0,5.3,65.1,5240576.0,36.8,10.0,38.6,37.7,254373.0,266926.0,243384.0,252267.0,230159.0,202514.0,174630.0,124323.0,92119.0,106309.0,4047296.0,5.9,6.1,5.9,5.6,6.6,7.4,7.4,7.0,6.3,238785.0,6.6,6.0,6.2,5.7,5.0,4.3,3.1,2.3,2.6,247598.0,237747.0,227336.0,266364.0,298821.0,299912.0,283729.0,250782.0,260244.0,235380.0,243549.0,217330.0,191220.0,167536.0,114429.0,75549.0,65832.0,3999452.0,6.3,6.6,6.3,6.1,7.1,7.6,7.4,7.1,6.3,253365.0,6.5,5.9,6.1,5.4,4.8,4.2,2.9,1.9,1.6,262031.0,252185.0,244004.0,282850.0,303569.0,296769.0,282828.0,505155.0,527170.0,478764.0,495816.0,447489.0,393734.0,342166.0,238752.0,167668.0,172141.0,8046748.0,6.1,6.3,6.1,5.9,6.8,7.5,7.4,7.0,6.3,492150.0,6.6,5.9,6.2,5.6,4.9,4.3,3.0,2.1,2.1,509629.0,489932.0,471340.0,549214.0,602390.0,596681.0,566557.0,,141997.0,78.7,59.6,22220.0,39193.0,15511.0,24311.0,101443.0,37.3,62.9,,,,,,,,,,,,,,,,,,,,,,72.6,29.4,41.6,,,,,,,,,,,,,,,,,,,,,29.5,44246.0,36924.0,109503.0,191947.0,70.6,,,,,,,,,,,,,,,,,46.5,115500.0,64.0,,,,,,,,,,,,,,,,,69204.0,25.5,122451.0,45.1,,,,,,,,,805.0,26156.0,13135.0
