Controlling corporation,Facility Name,Type,State,Electricity Production GJ,Electricity Production Mwh,Total Scope 1 Emissions t CO2 e,Total Scope 2 Emissions t CO2 e,Total Emissions t CO2 e,Emission Intensity t Mwh,Grid Connected,Grid,Primary Fuel,Important Notes
ACCIONA ENERGY OCEANIA PTY. LTD.,Gunning Wind Farm,F,NSW,595234,165343,22,283.0,305,0.0,On,NEM,Wind,
ACCIONA ENERGY OCEANIA PTY. LTD.,Waubra Wind Farm,F,VIC,2352139,653372,93,950.0,1043,0.0,On,NEM,Wind,
ACCIONA ENERGY OCEANIA PTY. LTD.,Corporate Total,C,,2947373,818715,115,1233.0,1348,,,,,
AGL ENERGY LIMITED,Banimboola Hydro,F,VIC,170057,47238,0,5.0,5,0.0,On,NEM,Hydro,
AGL ENERGY LIMITED,Bayswater Power Station,F,NSW,64493748,17914930,15912788,6252.0,15919040,0.89,On,NEM,Black Coal,
AGL ENERGY LIMITED,Bogong Power Station,F,VIC,263335,73149,83,873.0,956,0.0,On,NEM,Hydro,
AGL ENERGY LIMITED,Broken Hill Solar Plant,F,NSW,331577,92105,3,254.0,257,0.0,On,NEM,Solar,
AGL ENERGY LIMITED,Burrendong Hydro,F,NSW,24438,6788,1,48.0,49,0.0,On,NEM,Hydro,
AGL ENERGY LIMITED,Clover Hydro,F,VIC,164536,45704,3,207.0,210,0.0,On,NEM,Hydro,
AGL ENERGY LIMITED,Coopers Cogeneration,F,SA,91410,25392,18881,77.0,18958,0.74,On,NEM,Gas,
AGL ENERGY LIMITED,Copeton Hydro,F,NSW,45682,12689,1,58.0,59,0.0,On,NEM,Hydro,
AGL ENERGY LIMITED,Dartmouth Hydro,F,VIC,1829104,508084,0,183.0,183,0.0,On,NEM,Hydro,
AGL ENERGY LIMITED,Eildon Hydro,F,VIC,551464,153184,27,998.0,1025,0.0,On,NEM,Hydro,
AGL ENERGY LIMITED,Glenbawn Hydro,F,NSW,32673,9076,0,7.0,7,0.0,On,NEM,Hydro,
AGL ENERGY LIMITED,Glenorchy Landfill Generation,F,TAS,39788,11052,638,2.0,640,0.06,On,NEM,Landfill Gas,
AGL ENERGY LIMITED,Hallett (Stage 1) Wind Farm,F,SA,1160705,322418,81,196.0,277,0.0,On,NEM,Wind,
AGL ENERGY LIMITED,Hallett (Stage 2) Wind Farm,F,SA,896973,249159,69,155.0,224,0.0,On,NEM,Wind,
AGL ENERGY LIMITED,Hallett (Stage 4) Wind Farm,F,SA,1646119,457255,104,415.0,519,0.0,On,NEM,Wind,
AGL ENERGY LIMITED,Hallett (Stage 5) Wind Farm,F,SA,540044,150012,81,194.0,275,0.0,On,NEM,Wind,
AGL ENERGY LIMITED,Hobart Landfill Generation,F,TAS,14083,3912,383,0.0,383,0.1,On,NEM,Landfill Gas,
AGL ENERGY LIMITED,Hunter Valley Gas Turbines,F,NSW,4078,1133,1332,1037.0,2369,1.18,On,NEM,Gas,
AGL ENERGY LIMITED,Kincumber Landfill Generation,F,NSW,13749,3819,221,2.0,223,0.06,On,NEM,Landfill Gas,
AGL ENERGY LIMITED,Liddell Power Station,F,NSW,28639532,7955426,7585578,62013.0,7647591,0.95,On,NEM,Black Coal,
AGL ENERGY LIMITED,Loy Yang Power Station and Mine,F,VIC,56575968,15715547,18141716,259700.0,18401416,1.15,On,NEM,Brown Coal,
AGL ENERGY LIMITED,Macarthur Wind Farm,F,VIC,3624124,1006701,348,2612.0,2960,0.0,On,NEM,Wind,
AGL ENERGY LIMITED,McKay Creek Hydro,F,VIC,315917,87755,0,5308.0,5308,0.0,On,NEM,Hydro,
AGL ENERGY LIMITED,Moranbah Power Station,F,QLD,130693,36304,20231,2448.0,22679,0.56,On,NEM,Coal Seam Methane,
AGL ENERGY LIMITED,Nyngan Solar Plant,F,NSW,826348,229541,159,777.0,936,0.0,On,NEM,Solar,
AGL ENERGY LIMITED,Oaklands Hill Wind Farm,F,VIC,604314,167865,68,710.0,778,0.0,On,NEM,Wind,
AGL ENERGY LIMITED,Pindari Hydro,F,NSW,4151,1153,0,24.0,24,0.0,On,NEM,Hydro,
AGL ENERGY LIMITED,Rockingham Landfill Generation,F,WA,75943,21095,1255,3.0,1258,0.06,On,SWIS,Landfill Gas,
AGL ENERGY LIMITED,Rubicon Hydro Scheme,F,VIC,165761,46045,0,53.0,53,0.0,On,NEM,Hydro,
AGL ENERGY LIMITED,Shoalhaven Landfill Generation,F,NSW,16451,4570,259,12.0,271,0.06,On,NEM,Landfill Gas,
AGL ENERGY LIMITED,Somerton Power Station,F,VIC,41928,11647,10149,1952.0,12101,0.87,On,NEM,Gas,
AGL ENERGY LIMITED,Torrens Island Power Station,F,SA,9462551,2628486,1514334,13412.0,1527746,0.58,On,NEM,Gas/Diesel,
AGL ENERGY LIMITED,Wattle Point Wind Farm,F,SA,963022,267506,45,195.0,240,0.0,On,NEM,Wind,
AGL ENERGY LIMITED,Werribee Biogas Generator,F,VIC,177210,49225,2468,1286.0,3754,0.05,On,NEM,Biogas,
AGL ENERGY LIMITED,West Kiewa Hydro,F,VIC,465756,129377,0,1418.0,1418,0.0,On,NEM,Hydro,
AGL ENERGY LIMITED,Wilpena Pound Solar Generation,F,SA,3443,956,617,0.0,617,0.65,Off,Off-grid,Solar,
AGL ENERGY LIMITED,Woy Woy Landfill Generation,F,NSW,29824,8284,451,3.0,454,0.05,On,NEM,Landfill Gas,
AGL ENERGY LIMITED,Yarrawonga Hydro,F,VIC,165727,46035,0,43.0,43,0.0,On,NEM,Hydro,
AGL ENERGY LIMITED,Corporate Total,C,,174602226,48500618,43212374,362932.0,43575306,,,,,
ALCOA AUSTRALIAN HOLDINGS PTY LTD,Alinta Pinjarra Generation Facility,F,WA,7406121,2057256,1401162,372.0,1401534,0.68,On,SWIS,Gas,"The electricity production data is unavailable for this facility, due to issues with the accuracy of the data reported and/or pending outcome of regulatory matters.  The data on this facility may be made available in future publications."
ALCOA AUSTRALIAN HOLDINGS PTY LTD,Alinta Wagerup Generation Facility,F,WA,805895,223860,142586,5673.0,148259,0.64,On,SWIS,Gas/Diesel,
ALCOA AUSTRALIAN HOLDINGS PTY LTD,Anglesea Power Station,F,VIC,604368,167880,184958,17597.0,202555,1.1,On,NEM,Brown Coal,
ALCOA AUSTRALIAN HOLDINGS PTY LTD,Corporate Total,C,,8816384,2448996,1728706,23642.0,1752348,,,,,
