Reporting Entity,Facility Name,Type,State,Electricity Production GJ,Electricity Production Mwh,Total Scope 1 Emissions t CO2 e,Total Scope 2 Emissions t CO2 e 2,Total Emissions t CO2 e,Emission Intensity t Mwh,Grid Connected2,Grid,Primary Fuel,Important Notes
ACCIONA ENERGY OCEANIA PTY. LTD.,Gunning Wind Farm,F,NSW,562485,156246,46,283.0,329,0.0,On,NEM,Wind,-
ACCIONA ENERGY OCEANIA PTY. LTD.,Waubra Wind Farm,F,VIC,2204701,612417,129,1080.0,1209,0.0,On,NEM,Wind,-
ACCIONA ENERGY OCEANIA PTY. LTD.,Corporate Total,C,-,2767186,768663,175,1363.0,1538,,-,-,-,-
AGL ENERGY LIMITED,Banimboola Hydro,F,VIC,10938,3038,3,10.0,13,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Bayswater Power Station,F,NSW,57400488,15944580,14148670,12723.0,14161393,0.89,On,NEM,Black Coal,-
AGL ENERGY LIMITED,Bogong Power Station,F,VIC,418797,116333,87,786.0,873,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Broken Hill Solar Plant,F,NSW,459233,127565,0,356.0,356,0.0,On,NEM,Solar,-
AGL ENERGY LIMITED,Burrendong Hydro,F,NSW,149406,41502,1,42.0,43,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Clover Hydro,F,VIC,255511,70975,2,206.0,208,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Coopers Cogeneration,F,SA,91376,25382,19025,71.0,19096,0.75,On,NEM,Gas,-
AGL ENERGY LIMITED,Copeton Hydro,F,NSW,101114,28087,1,56.0,57,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Dartmouth Hydro,F,VIC,159832,44398,,255.0,255,,On,NEM,Hydro,-
AGL ENERGY LIMITED,Eildon Hydro,F,VIC,370659,102961,23,908.0,931,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Glenbawn Hydro,F,NSW,14916,4143,0,7.0,7,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Glenorchy Landfill Generation,F,TAS,34171,9492,510,1.0,511,0.05,On,NEM,Landfill Gas,-
AGL ENERGY LIMITED,Hallett (Stage 1) Wind Farm,F,SA,1028152,285598,82,294.0,376,0.0,On,NEM,Wind,-
AGL ENERGY LIMITED,Hallett (Stage 2) Wind Farm,F,SA,808478,224577,70,221.0,291,0.0,On,NEM,Wind,-
AGL ENERGY LIMITED,Hallett (Stage 4) Wind Farm,F,SA,1425024,395840,81,651.0,732,0.0,On,NEM,Wind,-
AGL ENERGY LIMITED,Hallett (Stage 5) Wind Farm,F,SA,440273,122298,85,378.0,463,0.0,On,NEM,Wind,-
AGL ENERGY LIMITED,Hobart Landfill Generation,F,TAS,8898,2472,214,3.0,217,0.09,On,NEM,Landfill Gas,-
AGL ENERGY LIMITED,Hunter Valley Gas Turbines,F,NSW,2311,642,976,920.0,1896,1.52,On,NEM,Gas,-
AGL ENERGY LIMITED,Kemps Creek Landfill Generation,F,NSW,31872,8853,388,7.0,395,0.04,On,NEM,Landfill Gas,-
AGL ENERGY LIMITED,Kincumber Landfill Generation,F,NSW,8150,2264,173,24.0,197,0.08,On,NEM,Landfill Gas,-
AGL ENERGY LIMITED,Liddell Power Station,F,NSW,34236128,9510036,8816100,39469.0,8855569,0.93,On,NEM,Black Coal,-
AGL ENERGY LIMITED,Loy Yang Power Station and Mine,F,VIC,57187037,15885288,18710989,252608.0,18963597,1.18,On,NEM,Brown Coal,-
AGL ENERGY LIMITED,Macarthur Wind Farm,F,VIC,3218676,894077,322,3215.0,3537,0.0,On,NEM,Wind,-
AGL ENERGY LIMITED,McKay Creek Hydro,F,VIC,501963,139434,1,4894.0,4895,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Moranbah Power Station,F,QLD,300435,83454,45368,219.0,45587,0.54,On,NEM,Coal Seam Methane,-
AGL ENERGY LIMITED,Nyngan Solar Plant,F,NSW,835877,232188,156,771.0,927,0.0,On,NEM,Solar,-
AGL ENERGY LIMITED,Oaklands Hill Wind Farm,F,VIC,612654,170182,63,793.0,856,0.0,On,NEM,Wind,-
AGL ENERGY LIMITED,Pindari Hydro,F,NSW,25904,7196,0,28.0,28,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Rockingham Landfill Generation,F,WA,76259,21183,1074,14.0,1088,0.05,On,SWIS,Landfill Gas,-
AGL ENERGY LIMITED,Rubicon Hydro Scheme,F,VIC,176175,48938,,39.0,39,,On,NEM,Hydro,-
AGL ENERGY LIMITED,Shoalhaven Landfill Generation,F,NSW,20580,5717,242,5.0,247,0.04,On,NEM,Landfill Gas,-
AGL ENERGY LIMITED,Somerton Power Station,F,VIC,104918,29144,21967,1910.0,23877,0.75,On,NEM,Gas,-
AGL ENERGY LIMITED,Torrens Island Power Station,F,SA,10381972,2883881,1629393,14060.0,1643453,0.56,On,NEM,Gas,-
AGL ENERGY LIMITED,Wattle Point Wind Farm,F,SA,838991,233053,43,221.0,264,0.0,On,NEM,Wind,-
AGL ENERGY LIMITED,Werribee Biogas Generator,F,VIC,197532,54870,2710,1203.0,3913,0.05,On,NEM,Biogas,-
AGL ENERGY LIMITED,West Kiewa Hydro,F,VIC,712767,197991,1,1039.0,1040,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Wilpena Pound Solar Generation,F,SA,3481,967,704,,704,0.73,Off,Off-grid,Solar,-
AGL ENERGY LIMITED,Woy Woy Landfill Generation,F,NSW,29576,8216,487,2.0,489,0.06,On,NEM,Landfill Gas,-
AGL ENERGY LIMITED,Yarrawonga Hydro,F,VIC,113201,31445,0,31.0,31,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Corporate Total,C,-,172793725,47998257,43400011,338440.0,43738451,,-,-,-,-
ALCOA AUSTRALIAN HOLDINGS PTY LTD,Alinta Pinjarra Generation Facility,F,WA,8178801,2271889,1509401,353.0,1509754,0.66,On,SWIS,Gas,-
ALCOA AUSTRALIAN HOLDINGS PTY LTD,Alinta Wagerup Generation Facility,F,WA,502063,139462,90740,4374.0,95114,0.65,On,SWIS,Gas,-
ALCOA AUSTRALIAN HOLDINGS PTY LTD,Corporate Total,C,-,8680864,2411351,1600141,4727.0,1604868,,-,-,-,-
APT PIPELINES LIMITED,Daandine Power Station,F,QLD,897317,249255,123363,,123363,0.49,On,NEM,Coal Seam Methane,"Please note that in some circumstances Joint Venture partners are required to report a full amount for each facility they have in a Joint Venture. This results in that facility appearing twice. The identified Joint Venture participants have each included the same data for the Daandine Power Station in their NGER reports. This is because neither participant had the greatest ability to introduce and implement the operating and environmental policies in relation to the facility, and a nomination of operational control has not been made."
APT PIPELINES LIMITED,Diamantina Power Station,F,QLD,5937480,1649300,667141,62.0,667203,0.4,On,Mt Isa,Gas,-
APT PIPELINES LIMITED,Emu Downs Wind Farm,F,WA,931765,258824,64,281.0,345,0.0,On,SWIS,Wind,-
APT PIPELINES LIMITED,Corporate Total,C,-,7766562,2157378,790568,343.0,790911,,-,-,-,-
ARROW ENERGY HOLDINGS PTY LTD,Braemar 2 Power Station,F,QLD,1657736,460482,274255,3987.0,278242,0.6,On,NEM,Coal Seam Methane,-
ARROW ENERGY HOLDINGS PTY LTD,Corporate Total,C,-,1657736,460482,274255,3987.0,278242,,-,-,-,-
ATCO AUSTRALIA PTY LTD,Karratha Power Station,F,WA,1243694,345471,187036,,187036,0.54,On,NWIS,Gas,-
ATCO AUSTRALIA PTY LTD,Osborne facility,F,SA,3480960,966933,397951,1266.0,399217,0.41,On,NEM,Gas,-
ATCO AUSTRALIA PTY LTD,Corporate Total,C,-,4724654,1312404,584987,1266.0,586253,,-,-,-,-
AWF AUS HOLD OP CO PTY LTD,Facility,F,VIC,923558,256544,,1098.0,1098,,On,NEM,Wind,-
AWF AUS HOLD OP CO PTY LTD,Corporate Total,C,-,923558,256544,,1098.0,1098,,-,-,-,-
AXIA ENERGY AUSTRALIA PTY LTD,Smithfield Power Partnership,F,NSW,3525820,979394,462385,19.0,462404,0.47,On,NEM,Gas,-
AXIA ENERGY AUSTRALIA PTY LTD,Corporate Total,C,-,3525820,979394,462385,19.0,462404,,-,-,-,-
BHP BILLITON IRON ORE PTY. LTD.,Yarnima Power Station,F,WA,2546182,707273,302918,,302918,0.43,Off,Off-grid,Gas,-
BHP BILLITON IRON ORE PTY. LTD.,Corporate Total,C,-,2546182,707273,302918,,302918,,-,-,-,-
BLUEWATERS POWER 1 PTY LTD,Bluewaters Power 1,F,WA,6584417,1829005,1632484,1297.0,1633781,0.89,On,SWIS,Black Coal,-
BLUEWATERS POWER 1 PTY LTD,Corporate Total,C,-,6584417,1829005,1632484,1297.0,1633781,,-,-,-,-
BLUEWATERS POWER 2 PTY LTD,Bluewaters Power 2,F,WA,3001090,833636,722562,5659.0,728221,0.87,On,SWIS,Black Coal,-
BLUEWATERS POWER 2 PTY LTD,Corporate Total,C,-,3001090,833636,722562,5659.0,728221,,-,-,-,-
BPIH PTY LIMITED,Enwave Central Park Pty Ltd,F,NSW,1443,401,2417,,2417,6.03,On,NEM,Gas,-
BPIH PTY LIMITED,Enwave Mascot Pty Ltd,F,NSW,100997,28055,15416,1448.0,16864,0.55,On,NEM,Gas,-
BPIH PTY LIMITED,Corporate Total,C,-,102440,28456,17833,1448.0,19281,,-,-,-,-
C S ENERGY LIMITED,Callide B Power Station,F,QLD,17202049,4778347,4396350,31238.0,4427588,0.92,On,NEM,Black Coal,-
C S ENERGY LIMITED,Callide C Power Station,F,QLD,19596920,5443589,4895015,24167.0,4919182,0.9,On,NEM,Black Coal,"Please note that in some circumstances Joint Venture partners are required to report a full amount for each facility they have in a Joint Venture. This results in that facility appearing twice. The identified Joint Venture participants have each included the same data for the Callide C Power Station in their NGER reports. This is because neither participant had the greatest ability to introduce and implement the operating and environmental policies in relation to the facility, and a nomination of operational control has not been made."
C S ENERGY LIMITED,Kogan Creek Power Station,F,QLD,21326630,5924064,4849031,2335.0,4851366,0.82,On,NEM,Black Coal,-
C S ENERGY LIMITED,Wivenhoe Power Station,F,QLD,238211,66170,33,90635.0,90668,0.0,On,NEM,Hydro,-
C S ENERGY LIMITED,Corporate Total,C,-,58363810,16212169,14140429,148375.0,14288804,,-,-,-,-
CANUNDA POWER PTY LTD,Canunda Wind Farm,F,SA,424757,117988,8,112.0,120,0.0,On,NEM,Wind,-
CANUNDA POWER PTY LTD,Corporate Total,C,-,424757,117988,8,112.0,120,,-,-,-,-
CAPE BYRON MANAGEMENT PTY LTD,Broadwater Power Plant,F,NSW,773555,214876,7184,1004.0,8188,0.03,On,NEM,Bagasse,-
CAPE BYRON MANAGEMENT PTY LTD,Condong Power Plant,F,NSW,640900,178028,7418,1392.0,8810,0.04,On,NEM,Bagasse,-
CAPE BYRON MANAGEMENT PTY LTD,Corporate Total,C,-,1414455,392904,14602,2396.0,16998,,-,-,-,-
CBWF HOLDINGS PTY LIMITED,Facility,F,VIC,272882,75801,,108.0,108,,On,NEM,Wind,-
CBWF HOLDINGS PTY LIMITED,Corporate Total,C,-,272882,75801,,108.0,108,,-,-,-,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Appin CSM Power Station,F,NSW,232325,64535,46085,522.0,46607,0.71,On,NEM,Coal Seam Methane,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Ardyaloon Remote Power Station,F,WA,6650,1847,1337,,1337,0.72,Off,Off-grid,Liquid Fuel,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Beagle Bay Remote Power Station,F,WA,6268,1741,1261,,1261,0.72,Off,Off-grid,Liquid Fuel,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Belrose LFG Power Station,F,NSW,19850,5514,366,,366,0.07,On,NEM,Landfill Gas,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Berwick LFG Power Station,F,VIC,57523,15979,1023,504.0,1527,0.06,On,NEM,Landfill Gas,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Bidyadanga Remote Power Station,F,WA,10434,2898,2130,,2130,0.73,Off,Off-grid,Liquid Fuel,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Broadmeadows LFG Power Station,F,VIC,62812,17448,1115,97.0,1212,0.06,On,NEM,Landfill Gas,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Brooklyn LFG Power Station,F,VIC,45953,12765,796,6.0,802,0.06,On,NEM,Landfill Gas,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Broome LNG Power Station,F,WA,498770,138547,73718,,73718,0.53,Off,Off-grid,Gas,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Browns Plains LFG Power Station,F,QLD,48365,13435,852,2.0,854,0.06,On,NEM,Landfill Gas,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Clayton LFG Power Station,F,VIC,281400,78167,4370,346.0,4716,0.06,On,NEM,Landfill Gas,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Coober Pedy Remote Power Station,F,SA,45317,12588,8614,,8614,0.68,Off,Off-grid,Diesel,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Corio LFG Power Station,F,VIC,26161,7267,464,5.0,469,0.06,On,NEM,Landfill Gas,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Cullerin Range Wind Farm,F,NSW,354476,98466,23,87.0,110,0.0,On,NEM,Wind,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Derby LNG Power Station,F,WA,123262,34239,20130,,20130,0.59,Off,Off-grid,Gas,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Djarindjin Remote Power Station,F,WA,6551,1820,1317,,1317,0.72,Off,Off-grid,Liquid Fuel,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Eastern Creek LFG Power Station,F,NSW,43366,12046,698,2.0,700,0.06,On,NEM,Landfill Gas,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Fitzroy Crossing LNG Power Station,F,WA,51025,14174,8379,,8379,0.59,Off,Off-grid,Gas,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Gascoyne Junction Remote Power Station,F,WA,2842,789,622,,622,0.79,Off,Off-grid,Liquid Fuel,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,German Creek CMM Power Station,F,QLD,1151228,319786,166839,21.0,166860,0.52,On,NEM,Waste Coal Mine Gas,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Glennies Creek Power Station,F,NSW,283047,78624,40317,3.0,40320,0.51,On,NEM,Waste Coal Mine Gas,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Grange Avenue LFG Power Station,F,NSW,23786,6607,391,3.0,394,0.06,On,NEM,Landfill Gas,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Grosvenor I WCMG Power Station,F,QLD,164902,45806,25455,25.0,25480,0.56,On,NEM,Waste Coal Mine Gas,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Halls Creek LNG Power Station,F,WA,41275,11465,7302,,7302,0.64,Off,Off-grid,Gas,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Jacks Gully LFG Power Station,F,NSW,47408,13169,838,4.0,842,0.06,On,NEM,Landfill Gas,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Kalamunda Power Station,F,WA,79,22,5,1.0,6,0.23,On,SWIS,Diesel,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Laverton Remote Power Station,F,WA,13114,3643,2620,,2620,0.72,Off,Off-grid,Liquid Fuel,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Leonora Remote Power Station,F,WA,30291,8414,6291,,6291,0.75,Off,Off-grid,Gas,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Looma Power Station,F,WA,9379,2605,2074,,2074,0.8,Off,Off-grid,Diesel,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Lucas Heights 1 LFG Power Station,F,NSW,58542,16262,1041,2.0,1043,0.06,On,NEM,Landfill Gas,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Lucas Heights 2 LFG Power Station,F,NSW,349787,97163,6148,2.0,6150,0.06,On,NEM,Landfill Gas,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,McArthur River Power Station,F,NT,891734,247704,122205,,122205,0.49,Off,Off-grid,Gas,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Menzies Remote Power Station,F,WA,2256,627,517,,517,0.82,Off,Off-grid,Liquid Fuel,-
