Reporting Entity,Facility Name,Type,State,Electricity Production GJ,Electricity Production MWh,Total Scope 1 Emissions t CO2 e,Total Scope 2 Emissions t CO2 e,Total Emissions t CO2 e,Emission Intensity t CO2 e MWh,Grid Connected,Grid,Primary Fuel,Important Notes
Acciona Energy Oceania Pty. Ltd.,Cathedral Rocks Wind Farm,F,SA,632284,175634,39,213.0,252,0.0,On,NEM,Wind,-
Acciona Energy Oceania Pty. Ltd.,Gunning Wind Farm,F,NSW,592807,164669,44,195.0,239,0.0,On,NEM,Wind,-
Acciona Energy Oceania Pty. Ltd.,Mt Gellibrand Wind Farm,F,VIC,844669,234630,36,864.0,900,0.0,On,NEM,Wind,-
Acciona Energy Oceania Pty. Ltd.,Waubra Wind Farm,F,VIC,2261159,628100,92,901.0,993,0.0,On,NEM,Wind,-
Acciona Energy Oceania Pty. Ltd.,Corporate Total,C,-,4330919,1203033,211,2173.0,2384,,-,-,-,-
AGL Energy Limited,Banimboola Hydro,F,VIC,153268,42574,15,6.0,21,0.0,On,NEM,Hydro,-
AGL Energy Limited,Bayswater Power Station,F,NSW,57455186,15959774,14071088,44325.0,14115413,0.88,On,NEM,Black Coal,-
AGL Energy Limited,Bogong Power Station,F,VIC,285290,79247,79,860.0,939,0.0,On,NEM,Hydro,-
AGL Energy Limited,Broken Hill Solar Plant,F,NSW,445268,123686,81,344.0,425,0.0,On,NEM,Solar,-
AGL Energy Limited,Burrendong Hydro,F,NSW,22225,6174,1,53.0,54,0.0,On,NEM,Hydro,-
AGL Energy Limited,Clover Hydro,F,VIC,126367,35102,3,295.0,298,0.0,On,NEM,Hydro,-
AGL Energy Limited,Coopers Cogeneration,F,SA,51189,14219,10409,40.0,10449,0.73,On,NEM,Gas,-
AGL Energy Limited,Copeton Hydro,F,NSW,135016,37504,1,27.0,28,0.0,On,NEM,Hydro,-
AGL Energy Limited,Dartmouth Hydro,F,VIC,1799330,499814,2,177.0,179,0.0,On,NEM,Hydro,-
AGL Energy Limited,Eildon Hydro,F,VIC,647219,179783,0,1463.0,1463,0.0,On,NEM,Hydro,-
AGL Energy Limited,Glenbawn Hydro,F,NSW,7601,2111,0,10.0,10,0.0,On,NEM,Hydro,-
AGL Energy Limited,Glenorchy Landfill Generation,F,TAS,6546,1818,105,0.0,105,0.06,On,NEM,Landfill Gas,-
AGL Energy Limited,Hallett (Stage 1) Wind Farm,F,SA,1160489,322358,98,205.0,303,0.0,On,NEM,Wind,-
AGL Energy Limited,Hallett (Stage 2) Wind Farm,F,SA,942452,261792,75,150.0,225,0.0,On,NEM,Wind,-
AGL Energy Limited,Hallett (Stage 4) Wind Farm,F,SA,1692633,470176,145,350.0,495,0.0,On,NEM,Wind,-
AGL Energy Limited,Hallett (Stage 5) Wind Farm,F,SA,567813,157726,62,173.0,235,0.0,On,NEM,Wind,-
AGL Energy Limited,Hobart Landfill Generation,F,TAS,4694,1304,74,0.0,74,0.06,On,NEM,Landfill Gas,-
AGL Energy Limited,Hunter Valley Gas Turbines,F,NSW,9061,2517,2975,815.0,3790,1.18,On,NEM,Gas,-
AGL Energy Limited,Kemps Creek Landfill Generation,F,NSW,3707,1030,54,12.0,66,0.05,On,NEM,Landfill Gas,-
AGL Energy Limited,Kincumber Landfill Generation,F,NSW,1407,391,27,5.0,32,0.07,On,NEM,Landfill Gas,-
AGL Energy Limited,Liddell Power Station,F,NSW,33269876,9241632,8487697,40725.0,8528422,0.92,On,NEM,Black Coal,-
AGL Energy Limited,Loy Yang Power Station and Mine,F,VIC,57454359,15959544,18544718,253801.0,18798519,1.16,On,NEM,Brown Coal,-
AGL Energy Limited,Macarthur Wind Farm,F,VIC,3837422,1065951,451,3025.0,3476,0.0,On,NEM,Wind,-
AGL Energy Limited,McKay Creek Hydro,F,VIC,357324,99257,0,5221.0,5221,0.0,On,NEM,Hydro,-
