Reporting entity,Facility name,Type,State,Electricity production GJ,Electricity production MWh,Total scope 1 emissions t CO2 e,Total scope 2 emissions t CO2 e,Total emissions t CO2 e,Emission intensity t CO2 e MWh,Grid connected,Grid,Primary fuel,Important notes
ACCIONA ENERGY OCEANIA PTY LTD,Cathedral Rocks Wind Farm,F,SA,555151,154209,50,95.0,145,0.0,On,NEM,Wind,-
ACCIONA ENERGY OCEANIA PTY LTD,Gunning Wind Farm,F,NSW,636185,176718,45,143.0,188,0.0,On,NEM,Wind,-
ACCIONA ENERGY OCEANIA PTY LTD,Mt Gellibrand Wind Farm,F,VIC,1086174,301715,49,308.0,357,0.0,On,NEM,Wind,-
ACCIONA ENERGY OCEANIA PTY LTD,Waubra Wind Farm,F,VIC,2414107,670585,139,452.0,591,0.0,On,NEM,Wind,-
ACCIONA ENERGY OCEANIA PTY LTD,Corporate Total,C,-,4691617,1303227,283,998.0,1281,,-,-,-,-
ADANI RENEWABLE ASSET HOLDINGS PTY LTD,Adani Rugby Run Solar Farm,F,QLD,589185,163662,0,0.0,0,0.0,On,NEM,Solar,-
ADANI RENEWABLE ASSET HOLDINGS PTY LTD,Corporate Total,C,-,589185,163662,0,0.0,0,,-,-,-,-
AGL ENERGY LIMITED,Banimboola Hydro,F,VIC,126183,35051,8,39.0,47,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Barker Inlet Power Station,F,SA,901686,250468,110595,1553.0,112148,0.44,On,NEM,Gas,-
AGL ENERGY LIMITED,Bayswater Power Station,F,NSW,56724062,15756684,14013621,24693.0,14038314,0.89,On,NEM,Black Coal,-
AGL ENERGY LIMITED,Bogong Power Station,F,VIC,302433,84009,79,585.0,664,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Broken Hill Solar Plant,F,NSW,299498,83194,78,395.0,473,0.0,On,NEM,Solar,-
AGL ENERGY LIMITED,Clover Hydro,F,VIC,804,223,2,406.0,408,0.01,On,NEM,Hydro,-
AGL ENERGY LIMITED,Copeton Hydro,F,NSW,4378,1216,1,0.0,1,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Dartmouth Hydro,F,VIC,1035344,287595,0,242.0,242,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Eildon Hydro,F,VIC,361514,100421,0,193.0,193,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Glenbawn Hydro,F,NSW,6,2,0,11.0,11,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Hallett (Stage 1) Wind Farm,F,SA,1058072,293909,85,195.0,280,0.0,On,NEM,Wind,-
AGL ENERGY LIMITED,Hallett (Stage 2) Wind Farm,F,SA,844578,234605,71,154.0,225,0.0,On,NEM,Wind,-
AGL ENERGY LIMITED,Hallett (Stage 4) Wind Farm,F,SA,1539619,427672,152,320.0,472,0.0,On,NEM,Wind,-
AGL ENERGY LIMITED,Hallett (Stage 5) Wind Farm,F,SA,516226,143396,61,151.0,212,0.0,On,NEM,Wind,-
AGL ENERGY LIMITED,Hunter Valley Gas Turbines,F,NSW,6596,1832,2334,7.0,2341,1.27,On,NEM,Gas,-
AGL ENERGY LIMITED,Kwinana Swift Power Station,F,WA,442826,123007,71151,0.0,71151,0.58,On,SWIS,Gas,-
AGL ENERGY LIMITED,Liddell Power Station,F,NSW,37960485,10544579,9970686,40748.0,10011434,0.95,On,NEM,Black Coal,-
AGL ENERGY LIMITED,Loy Yang Power Station and Mine,F,VIC,52787806,14663279,16683326,242951.0,16926277,1.14,On,NEM,Brown Coal,-
AGL ENERGY LIMITED,Macarthur Wind Farm,F,VIC,3436848,954680,12421,3184.0,15605,0.01,On,NEM,Wind,-
AGL ENERGY LIMITED,McKay Creek Hydro,F,VIC,375870,104408,0,4553.0,4553,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Nyngan Solar Plant,F,NSW,871597,242110,150,714.0,864,0.0,On,NEM,Solar,-
AGL ENERGY LIMITED,Oaklands Hill Wind Farm,F,VIC,716825,199118,73,481.0,554,0.0,On,NEM,Wind,-
AGL ENERGY LIMITED,Rubicon Hydro Scheme,F,VIC,17216,4782,0,93.0,93,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Silverton Wind Farm,F,NSW,2174344,603984,134,281.0,415,0.0,On,NEM,Wind,-
AGL ENERGY LIMITED,Somerton Power Station,F,VIC,344085,95579,67041,1720.0,68761,0.7,On,NEM,Gas,-
AGL ENERGY LIMITED,Torrens Island Power Station,F,SA,7836105,2176696,1262196,13776.0,1275972,0.58,On,NEM,Gas,-
AGL ENERGY LIMITED,Wattle Point Wind Farm,F,SA,973724,270479,53,158.0,211,0.0,On,NEM,Wind,-
AGL ENERGY LIMITED,West Kiewa Hydro,F,VIC,524348,145652,0,746.0,746,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Yarrawonga Hydro,F,VIC,77952,21653,0,70.0,70,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Corporate Total,C,-,172261031,47850286,42194318,338419.0,42532737,,-,-,-,-
ALCOA AUSTRALIAN HOLDINGS PTY LTD,Alinta Pinjarra Generation Facility,F,WA,6851412,1903170,1340502,302.0,1340804,0.7,On,SWIS,Gas,-
ALCOA AUSTRALIAN HOLDINGS PTY LTD,Corporate Total,C,-,6851412,1903170,1340502,302.0,1340804,,-,-,-,-
APT PIPELINES LIMITED,Badgingarra Solar Farm,F,WA,141407,39280,16,62.0,78,0.0,On,SWIS,Solar,-
APT PIPELINES LIMITED,Badgingarra Wind Farm,F,WA,1764569,490158,90,353.0,443,0.0,On,SWIS,Wind,-
APT PIPELINES LIMITED,Daandine Power Station,F,QLD,764306,212307,109246,80.0,109326,0.51,On,NEM,Coal Seam Methane,"Please note that where more than one person has operational control over a facility at the same time and no nomination of operational control has been made, data for the facility for the entire period must be reported by the controlling corporation of each entity with operational control. This results in the same facility being reported multiple times. APT PIPELINES LIMITED and CLARKE ENERGY (AUSTRALIA) PTY. LTD., have each included the same data for the Daandine Power Station in their NGER reports."
APT PIPELINES LIMITED,Darling Downs Solar Farm,F,QLD,871353,242043,461,727.0,1188,0.0,On,NEM,Wind,-
APT PIPELINES LIMITED,Diamantina Power Station,F,QLD,6168352,1713431,701504,131.0,701635,0.41,On,Mt Isa,Gas,-
APT PIPELINES LIMITED,Emu Downs Solar Farm,F,WA,177976,49438,11,67.0,78,0.0,On,SWIS,Solar,-
APT PIPELINES LIMITED,Emu Downs Wind Farm,F,WA,876726,243535,79,275.0,354,0.0,On,SWIS,Wind,-
APT PIPELINES LIMITED,Corporate Total,C,-,10764689,2990191,811407,1695.0,813102,,-,-,-,-
ARROW ENERGY HOLDINGS PTY LTD,Braemar 2 Power Station,F,QLD,1242201,345056,206961,4612.0,211573,0.6,On,NEM,Coal Seam Methane,-
ARROW ENERGY HOLDINGS PTY LTD,Corporate Total,C,-,1242201,345056,206961,4612.0,211573,,-,-,-,-
ATCO AUSTRALIA PTY LTD,Karratha Power Station,F,WA,351776,97715,70699,164.0,70863,0.72,On,NWIS,Gas,-
ATCO AUSTRALIA PTY LTD,Osborne facility,F,SA,2613839,726066,299328,2698.0,302026,0.41,On,NEM,Gas,-
ATCO AUSTRALIA PTY LTD,Corporate Total,C,-,2965614,823782,370027,2862.0,372889,,-,-,-,-
AWF AUS HOLD OP CO PTY LTD,Facility,F,VIC,2231783,619940,19,1397.0,1416,0.0,On,NEM,Wind,-
AWF AUS HOLD OP CO PTY LTD,Corporate Total,C,-,2231783,619940,19,1397.0,1416,,-,-,-,-
BALD HILLS WF HOLDINGS PTY LTD,Bald Hills Wind Farm Pty Ltd,F,VIC,1183663,328795,92,648.0,740,0.0,On,NEM,Wind,-
BALD HILLS WF HOLDINGS PTY LTD,Corporate Total,C,-,1183663,328795,92,648.0,740,,-,-,-,-
